Genus,Species,Strain,Fasta,FastaFolder,Fastq,FastqFolder,ReferenceGenome,Kingdom,Phylum,Class,Order,Family,file,type
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,ref/A_muris.fa,assembly
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/cool/A_muris_MM84.mcool,cool
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/distance_law/A_muris_MM84_distance_law.csv,distance_law
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/pairs/A_muris_MM84.pairs,pairs
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/macrodomains/A_muris_MM84_macrodomains.bed,macrodomains
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/DI/A_muris_MM84_DI.bed,DI
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/insulation/A_muris_MM84_insulation.bed,insulation
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/borders/A_muris_MM84_borders.bed,borders
Acutalibacter,muris,KB18,A_muris,metagenomics/OligoMM12,MM84,2_METAG/OMM,GCA_016697365.1,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,results/chromosight/A_muris_MM84_loops.tsv,chromosight
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,ref/Agrobacterium_fabrum_circ4.fa,assembly
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/cool/Agrobacterium_fabrum_circ4_MM162.mcool,cool
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/distance_law/Agrobacterium_fabrum_circ4_MM162_distance_law.csv,distance_law
Agrobacterium,fabrum,circ2,Agrobacterium_fabrum_circ4,bacteria/agrobacterium/fabrum/circ4,MM162,1_BACTERIA/Mix_bacteria,GCA_000092025.1,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,results/pairs/Agrobacterium_fabrum_circ4_MM162.pairs,pairs
